CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
05154800;La Garonne à Mauvers;;559735;6302940;26;RGF93 / Lambert 93;82190;Verdun-sur-Garonne;82;Tarn-et-Garonne;76;Occitanie;FR296A;FRFR296A;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2620000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2001-07-20;;Pont de la D52 à Mauvers;M;Station de mesure Manuelle;96;;;;
05161000;La Garonne en aval de Toulouse;;568436;6290400;26;RGF93 / Lambert 93;31205;Gagnac-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR296B;FRFR296B;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2090000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-05-16;;Pont de la D63 à Gagnac sur Garonne;M;Station de mesure Manuelle;113;;;;
05161500;La Garonne au Syndicat Centre et Nord;;571211;6286300;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;FRFR296B;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2090000;O---0000;;2;Station qualité située sur un cours d'eau;;1972-01-01;;2016-12-29;Evaluation;Parking des Quinze sols;M;Station de mesure Manuelle;119;;;;
05174001;La Garonne au niveau de Roques;;568218;6268750;26;RGF93 / Lambert 93;31458;Roques;31;Haute-Garonne;76;Occitanie;FR252A;FRFR252A;La Garonne du confluent de l'Arize au confluent de l'Ariège;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;;O---0000;;2;Station qualité située sur un cours d'eau;;2016-11-17;;2016-11-17;Autre;Les grands Moulins;M;Station de mesure Manuelle;150;;;;
05175400;La Garonne au Pont vieux de Muret;;564595;6263540;26;RGF93 / Lambert 93;31395;Muret;31;Haute-Garonne;76;Occitanie;FR252A;FRFR252A;La Garonne du confluent de l'Arize au confluent de l'Ariège;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0820000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2013-12-03;;De part et d'autre du Pont vieux de Muret;M;Station de mesure Manuelle;153;;;;
05175800;La Garonne à Marquefave;;557517;6248020;26;RGF93 / Lambert 93;31320;Marquefave;31;Haute-Garonne;76;Occitanie;FR252A;FRFR252A;La Garonne du confluent de l'Arize au confluent de l'Ariège;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0800000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2014-06-25;;Pont de la D48 à Marquefave;M;Station de mesure Manuelle;189;;;;
05177000;La Garonne à Cazères;;544488;6235740;26;RGF93 / Lambert 93;31135;Cazères;31;Haute-Garonne;76;Occitanie;FR252B;FRFR252B;La Garonne du confluent du Salat au confluent de l'Arize;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0600000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-20;;Pont de la D7 à Cazères;M;Station de mesure Manuelle;228;;;;
05180900;La Garonne à Boussens (Pont de la D13);;534139;6231220;26;RGF93 / Lambert 93;31084;Boussens;31;Haute-Garonne;76;Occitanie;FR251;FRFR251;La Garonne du confluent de la Neste au confluent du Salat;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0290000;O---0000;;2;Station qualité située sur un cours d'eau;;2006-01-01;;2020-02-28;;Pont de la D13 au niveau de Mancioux;M;Station de mesure Manuelle;274;;;;
05181000;La Garonne à Labarthe Inard;;524137;6224090;26;RGF93 / Lambert 93;31372;Montespan;31;Haute-Garonne;76;Occitanie;FR251;FRFR251;La Garonne du confluent de la Neste au confluent du Salat;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0280000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2020-02-28;;Pont de la D88 à Labarthe Inard;M;Station de mesure Manuelle;320;;;;
05183970;La Garonne au Plan d'Arem;;515303;6198000;26;RGF93 / Lambert 93;31190;Fos;31;Haute-Garonne;76;Occitanie;FR178;FRFR178;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0010000;O---0000;;2;Station qualité située sur un cours d'eau;;2007-01-01;;2006-05-31;;Environ 300 m en aval du barrage du Plan d'Arem;M;Station de mesure Manuelle;561;;;;
