CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
05080890;La Garonne à Bourdelles;700;2016-08-22;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2016-08-22;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;33.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2016-08-22;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;7.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2016-08-22;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;42.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1637701;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2017-08-01;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;19.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1702427;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2017-08-01;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;46.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1702427;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2017-08-01;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;7.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1702427;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2017-08-01;13;Macroinvertébrés aquatiques;2018-05-04;00:00:00;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;63.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.0;1702427;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2018-07-31;13;Macroinvertébrés aquatiques;2019-05-15;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;12.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1773033;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2018-07-31;13;Macroinvertébrés aquatiques;2019-05-15;00:00:00;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;26.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1773033;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2018-07-31;13;Macroinvertébrés aquatiques;2019-05-15;00:00:00;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;5.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1773033;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2018-07-31;13;Macroinvertébrés aquatiques;2019-05-15;00:00:00;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;35.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1773033;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2019-07-24;13;Macroinvertébrés aquatiques;2020-04-02;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;18.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1839593;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2019-07-24;13;Macroinvertébrés aquatiques;2020-04-02;00:00:00;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;41.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1839593;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2019-07-24;13;Macroinvertébrés aquatiques;2020-04-02;00:00:00;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;7.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1839593;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2019-07-24;13;Macroinvertébrés aquatiques;2020-04-02;00:00:00;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;55.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;1839593;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2020-07-29;13;Macroinvertébrés aquatiques;2021-08-24;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;16.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;2031990;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2020-07-29;13;Macroinvertébrés aquatiques;2021-08-24;00:00:00;6955;Variété taxonomique macroinvertébrés grands cours d'eau - 12 prélèvements;33.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;2031990;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2020-07-29;13;Macroinvertébrés aquatiques;2021-08-24;00:00:00;6959;Groupe Faunistique Indicateur macroinvertébrés grands cours d'eau - 12 prélèvements;7.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;2031990;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2020-07-29;13;Macroinvertébrés aquatiques;2021-08-24;00:00:00;8130;Nombre de taxons contributifs de MGCE 12 prélèvements;44.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.1;2031990;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
05080890;La Garonne à Bourdelles;700;2021-10-13;13;Macroinvertébrés aquatiques;2022-06-17;00:00:00;6951;Indice macroinvertébrés grands cours d'eau - 12 prélèvements;13.0;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;MGCE_v1.0.3;2103952;18310006400033;AGENCE DE L'EAU ADOUR GARONNE;0;Inconnu
